country,year,affected,continent,percent_affected,month
India,2020,3214,Asia,0.034,1
India,2020,4856,Asia,0.051,2
India,2020,7123,Asia,0.075,3
India,2020,2589,Asia,0.027,4
India,2020,5482,Asia,0.058,5
India,2020,8791,Asia,0.093,6
India,2020,12547,Asia,0.132,7
India,2020,9873,Asia,0.104,8
India,2020,6218,Asia,0.066,9
India,2020,3871,Asia,0.041,10
India,2020,2984,Asia,0.031,11
India,2020,5127,Asia,0.054,12
India,2021,8421,Asia,0.089,1
India,2021,12873,Asia,0.136,2
India,2021,19542,Asia,0.207,3
India,2021,14823,Asia,0.157,4
India,2021,11278,Asia,0.119,5
India,2021,8452,Asia,0.089,6
India,2021,5821,Asia,0.061,7
India,2021,4287,Asia,0.045,8
India,2021,3142,Asia,0.033,9
India,2021,7854,Asia,0.083,10
India,2021,5218,Asia,0.055,11
India,2021,9871,Asia,0.104,12
India,2022,4231,Asia,0.045,1
India,2022,2874,Asia,0.030,2
India,2022,1985,Asia,0.021,3
India,2022,3421,Asia,0.036,4
India,2022,5142,Asia,0.054,5
India,2022,7852,Asia,0.083,6
India,2022,11234,Asia,0.118,7  
India,2023,8741,Asia,0.092,1
India,2023,5428,Asia,0.057,2
India,2023,2987,Asia,0.031,3
India,2023,4123,Asia,0.043,4
India,2023,7481,Asia,0.078,5
India,2023,9852,Asia,0.104,6
India,2023,12541,Asia,0.132,7  
India,2024,3258,Asia,0.034,1
India,2024,1842,Asia,0.019,2
India,2024,4571,Asia,0.048,3
Germany,2020,1287,Europe,0.016,1
Germany,2020,2514,Europe,0.031,2
Germany,2020,4231,Europe,0.052,3
Germany,2020,1872,Europe,0.023,4
Germany,2020,3412,Europe,0.042,5
Germany,2020,5147,Europe,0.064,6
Germany,2020,7421,Europe,0.092,7
Germany,2020,5812,Europe,0.072,8
Germany,2020,4127,Europe,0.051,9
Germany,2020,2458,Europe,0.030,10
Germany,2020,1784,Europe,0.022,11
Germany,2020,3142,Europe,0.039,12
Germany,2021,4852,Europe,0.060,1
Germany,2021,7231,Europe,0.089,2
Germany,2021,9874,Europe,0.122,3
Germany,2021,6542,Europe,0.081,4
Germany,2021,4821,Europe,0.059,5
Germany,2021,3125,Europe,0.039,6
Germany,2021,2418,Europe,0.030,7
Germany,2021,1857,Europe,0.023,8
Germany,2021,1423,Europe,0.018,9
Germany,2021,2147,Europe,0.027,10
Germany,2021,3852,Europe,0.048,11
Germany,2021,5217,Europe,0.065,12
Germany,2022,2541,Europe,0.031,1
Germany,2022,1472,Europe,0.018,2
Germany,2022,854,Europe,0.011,3
Germany,2023,1874,Europe,0.023,1
Germany,2023,1258,Europe,0.016,2
Germany,2023,714,Europe,0.009,3
Germany,2023,1123,Europe,0.014,4
Germany,2023,1842,Europe,0.023,5
Germany,2023,2517,Europe,0.031,6
Germany,2023,3871,Europe,0.048,7
Germany,2024,1428,Europe,0.018,1
Germany,2024,857,Europe,0.011,2
Germany,2024,514,Europe,0.006,3
China,2020,1872,Asia,0.013,1
China,2020,2548,Asia,0.018,2
China,2020,4215,Asia,0.030,3
China,2020,1987,Asia,0.014,4
China,2020,3142,Asia,0.022,5
China,2020,5821,Asia,0.041,6
China,2020,8456,Asia,0.060,7
China,2020,6218,Asia,0.044,8
China,2020,4527,Asia,0.032,9
China,2020,2814,Asia,0.020,10
China,2020,1987,Asia,0.014,11
China,2020,3412,Asia,0.024,12
China,2021,5142,Asia,0.037,1
China,2021,7854,Asia,0.056,2
China,2021,11234,Asia,0.080,3
China,2021,8412,Asia,0.060,4
China,2021,5871,Asia,0.042,5
China,2021,4128,Asia,0.029,6
China,2021,2845,Asia,0.020,7
China,2021,1972,Asia,0.014,8
China,2021,1427,Asia,0.010,9
China,2021,2584,Asia,0.018,10
China,2021,4231,Asia,0.030,11
China,2021,6147,Asia,0.044,12
China,2022,3215,Asia,0.023,1
China,2022,1842,Asia,0.013,2
China,2022,1271,Asia,0.009,3  
China,2023,2514,Asia,0.018,1
China,2023,1487,Asia,0.011,2
China,2023,852,Asia,0.006,3
China,2023,1284,Asia,0.009,4
China,2023,2147,Asia,0.015,5
China,2023,3412,Asia,0.024,6
China,2023,5178,Asia,0.037,7  
China,2024,2841,Asia,0.020,1
China,2024,1572,Asia,0.011,2
China,2024,984,Asia,0.007,3
Colombia,2020,4812,South America,0.042,1
Colombia,2020,7231,South America,0.064,2
Colombia,2020,11278,South America,0.100,3
Colombia,2020,8421,South America,0.074,4
Colombia,2020,6142,South America,0.054,5
Colombia,2020,9517,South America,0.084,6
Colombia,2020,14287,South America,0.126,7
Colombia,2020,10854,South America,0.096,8
Colombia,2020,7841,South America,0.069,9
Colombia,2020,5214,South America,0.046,10
